outer_step,task,lam,inner_lr,inner_steps,pre/loss_train,pre/loss_related,pre/kl_related,post/loss_train,post/loss_related,post/kl_related,base/loss_train,base/loss_related
270,spanish,0.5,0.0005,5,1.3269051313400269,1.2239227294921875,0.449737548828125,1.4725673198699951,1.291878581047058,0.45307403802871704,4.270986080169678,3.568849802017212
280,french,0.5,0.0005,5,2.1160526275634766,1.1888467073440552,0.4496353566646576,2.1101632118225098,1.3473668098449707,0.553575873374939,4.33449649810791,3.5522654056549072
280,german,0.5,0.0005,5,1.9137548208236694,1.340773582458496,0.4279329180717468,2.29052996635437,1.2686572074890137,0.5038108229637146,5.178280353546143,3.4848952293395996
280,italian,0.5,0.0005,5,1.8672703504562378,1.3475419282913208,0.44483163952827454,1.6824378967285156,1.5712720155715942,0.4968109130859375,4.663875579833984,3.341350555419922
280,portuguese,0.5,0.0005,5,1.6621525287628174,1.2241332530975342,0.465695858001709,1.71721613407135,1.3130052089691162,0.5405173897743225,4.54437780380249,3.715384006500244
280,spanish,0.5,0.0005,5,1.5529680252075195,1.553916096687317,0.3926251232624054,1.3220798969268799,1.3371673822402954,0.5083194375038147,4.270986080169678,3.568849802017212
290,french,0.5,0.0005,5,2.1206629276275635,1.4064618349075317,0.41956406831741333,2.106579542160034,1.2379943132400513,0.45534080266952515,4.33449649810791,3.5522654056549072
290,german,0.5,0.0005,5,1.9102683067321777,1.3181982040405273,0.4490140676498413,1.8195363283157349,1.3392590284347534,0.4749186933040619,5.178280353546143,3.4848952293395996
290,italian,0.5,0.0005,5,1.6870847940444946,1.4376096725463867,0.4496917724609375,1.6259979009628296,1.1110727787017822,0.4745025932788849,4.663875579833984,3.341350555419922
290,portuguese,0.5,0.0005,5,1.6168162822723389,1.4461009502410889,0.42273905873298645,1.5753356218338013,1.3764517307281494,0.4945487976074219,4.54437780380249,3.715384006500244
290,spanish,0.5,0.0005,5,1.3107032775878906,1.3810347318649292,0.42223069071769714,1.3890130519866943,1.3290159702301025,0.49470195174217224,4.270986080169678,3.568849802017212
300,french,0.5,0.0005,5,2.271730661392212,1.2787266969680786,0.45578110218048096,1.8929030895233154,1.3474135398864746,0.43143272399902344,4.33449649810791,3.5522654056549072
300,german,0.5,0.0005,5,1.8006373643875122,1.3150659799575806,0.39566704630851746,1.7953978776931763,1.409956932067871,0.47824522852897644,5.178280353546143,3.4848952293395996
300,italian,0.5,0.0005,5,1.6316571235656738,1.543947696685791,0.4060056805610657,1.7002450227737427,1.2364180088043213,0.4989947974681854,4.663875579833984,3.341350555419922
300,portuguese,0.5,0.0005,5,1.6819859743118286,1.2252099514007568,0.42877548933029175,1.596734642982483,1.1961439847946167,0.553143322467804,4.54437780380249,3.715384006500244
300,spanish,0.5,0.0005,5,1.3753564357757568,1.2284877300262451,0.4320870041847229,1.3930667638778687,1.238669991493225,0.4574602544307709,4.270986080169678,3.568849802017212
310,french,0.5,0.0005,5,2.247685432434082,1.3723543882369995,0.42205092310905457,2.2059571743011475,1.5398352146148682,0.4468517303466797,4.33449649810791,3.5522654056549072
310,german,0.5,0.0005,5,2.018157720565796,1.3054405450820923,0.42862263321876526,1.7537978887557983,1.2195935249328613,0.5170887112617493,5.178280353546143,3.4848952293395996
310,italian,0.5,0.0005,5,1.8468745946884155,1.406846046447754,0.3826301097869873,1.6730645895004272,1.2363029718399048,0.5134320855140686,4.663875579833984,3.341350555419922
